judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted,accepted_share_ci_low,accepted_share_ci_high,slip_through_ci_low,slip_through_ci_high,error_among_accepted_ci_low,error_among_accepted_ci_high
Qwen2.5-7B,conf_verb,clean,0.8,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778,1.0,1.0,1.0,1.0,0.22175905999885262,0.2650690400543731
Qwen2.5-7B,conf_verb,clean,0.9,1836,1824,12,0.9934640522875817,0.984304932735426,0.24067982456140352,0.5179274521561348,0.9896679252512176,0.9967177691531884,0.973305154507164,0.9934786145430539,0.21937443832297893,0.26254637488478805
Qwen2.5-7B,conf_verb,clean,0.95,1836,1457,379,0.7935729847494554,0.6278026905829597,0.19217570350034316,0.6138212536515455,0.7517684316177218,0.8331607257445549,0.5507246376811594,0.7021420356526739,0.1678370786516854,0.2170675181852656
Qwen2.5-7B,conf_verb,verbose,0.8,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131,1.0,1.0,1.0,1.0,0.20995670995670995,0.2550349957199479
Qwen2.5-7B,conf_verb,verbose,0.9,1836,1820,16,0.9912854030501089,0.9976525821596244,0.23351648351648352,0.5329128844788191,0.9864277958740499,0.9952755905511811,0.9927710843373494,1.0,0.2113863665246185,0.2565006749662517
Qwen2.5-7B,conf_verb,verbose,0.95,1836,1535,301,0.8360566448801743,0.7136150234741784,0.19804560260586318,0.6036791996127158,0.8026443464314355,0.8687738071420006,0.6444168547780287,0.7785609551738583,0.1706817130995947,0.22540392810820822
Qwen2.5-7B,conf_lp,clean,0.8,1836,1834,2,0.9989106753812637,0.9977578475336323,0.24263904034896402,0.5143650084318035,0.9972435843610281,1.0,0.9929577464788732,1.0,0.2212335378427306,0.26435700889280755
Qwen2.5-7B,conf_lp,clean,0.9,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309,0.9962343317060298,1.0,0.9887381032273809,1.0,0.22082610195717634,0.2638427940477633
Qwen2.5-7B,conf_lp,clean,0.95,1836,1830,6,0.9967320261437909,0.9910313901345291,0.24153005464480876,0.5167020588829285,0.9941457443148617,0.9989095319819368,0.9821763350831727,0.9978070175438597,0.2205111821086262,0.26298486220325945
Qwen2.5-7B,conf_lp,verbose,0.8,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323,0.9983115465462408,1.0,1.0,1.0,0.2100675425458858,0.25535446613543
Qwen2.5-7B,conf_lp,verbose,0.9,1836,1834,2,0.9989106753812637,1.0,0.23227917121046893,0.5352808357859524,0.9972766884531591,1.0,1.0,1.0,0.2100739348244615,0.2553553351646201
Qwen2.5-7B,conf_lp,verbose,0.95,1836,1831,5,0.9972766884531591,0.9953051643192489,0.23156744948115784,0.5367317540658243,0.994769600361394,0.9994517543859649,0.9881235154394299,1.0,0.2092273286663121,0.25499813227516005
Qwen2.5-7B,conf_sc,clean,0.8,1836,1508,328,0.8213507625272332,0.6390134529147982,0.1889920424403183,0.6165527037058185,0.7969417510589457,0.8441195392898521,0.5938847759237302,0.6809559062805076,0.16928079044117647,0.20985341875816302
Qwen2.5-7B,conf_sc,clean,0.9,1836,1508,328,0.8213507625272332,0.6390134529147982,0.1889920424403183,0.6165527037058185,0.7969417510589457,0.8441195392898521,0.5938847759237302,0.6809559062805076,0.16928079044117647,0.20985341875816302
Qwen2.5-7B,conf_sc,clean,0.95,1836,1508,328,0.8213507625272332,0.6390134529147982,0.1889920424403183,0.6165527037058185,0.7969417510589457,0.8441195392898521,0.5938847759237302,0.6809559062805076,0.16928079044117647,0.20985341875816302
Qwen2.5-7B,conf_bpe_prob,clean,0.8,1836,1325,511,0.721677559912854,0.36995515695067266,0.12452830188679245,0.751117056094715,0.6919010233377724,0.7519975496938778,0.3168522060190719,0.4282946128777404,0.10341681632356038,0.14712961680389178
Qwen2.5-7B,conf_bpe_prob,clean,0.9,1836,1324,512,0.7211328976034859,0.36995515695067266,0.12462235649546828,0.7509257907986427,0.6913813100597451,0.7515361533839369,0.3168522060190719,0.4282946128777404,0.10342090025178449,0.14724516266861992
Qwen2.5-7B,conf_bpe_prob,clean,0.95,1836,1322,514,0.7200435729847494,0.3654708520179372,0.12329803328290469,0.7535731357825906,0.690293714594532,0.7501523925154399,0.3137523779327838,0.4238036712428927,0.1025371979682807,0.14523545253796394
Qwen2.5-7B,conf_bpe_prob,verbose,0.8,1836,1478,358,0.8050108932461874,0.5516431924882629,0.15899864682002707,0.6820632523227607,0.7765042588504235,0.833690447680771,0.4911892886072859,0.6109818350570141,0.13749836387434555,0.18252856064958514
Qwen2.5-7B,conf_bpe_prob,verbose,0.9,1836,1476,360,0.803921568627451,0.5516431924882629,0.15921409214092141,0.681632608105032,0.7754193791432921,0.8327836034063434,0.4911892886072859,0.6109818350570141,0.13772787099259512,0.18265830125866553
Qwen2.5-7B,conf_bpe_prob,verbose,0.95,1836,1475,361,0.8033769063180828,0.5516431924882629,0.15932203389830507,0.6814181659428781,0.7743555473756064,0.8326136778345723,0.4911892886072859,0.6109818350570141,0.13781784074018835,0.18269691780821914
Qwen2.5-7B,conf_ens_prob,clean,0.8,1836,1292,544,0.7037037037037037,0.35650224215246634,0.12306501547987617,0.7539159642927307,0.6725838033630135,0.7359388469827587,0.3062087888764161,0.4106311360448808,0.10285276409414341,0.14454511204763829
Qwen2.5-7B,conf_ens_prob,clean,0.9,1836,1050,786,0.5718954248366013,0.21076233183856502,0.08952380952380952,0.8210354919076129,0.5325829488699542,0.610518704888821,0.17006802721088435,0.2536703276072468,0.0716304714727221,0.10847400630644594
Qwen2.5-7B,conf_ens_prob,clean,0.95,1836,1048,788,0.5708061002178649,0.21076233183856502,0.08969465648854962,0.8206883998616649,0.5314536357614207,0.6096851833750337,0.17006802721088435,0.2536703276072468,0.07177011196974899,0.10880316518298715
Qwen2.5-7B,conf_verb_bidir,clean,0.8,1836,1325,511,0.721677559912854,0.4330708661417323,0.12452830188679245,0.751117056094715,0.6919010233377724,0.7519975496938778,0.37680864852126783,0.49866004796027363,0.10341681632356038,0.14712961680389178
Qwen2.5-7B,conf_verb_bidir,clean,0.9,1836,1310,526,0.7135076252723311,0.4199475065616798,0.12213740458015267,0.755924877030854,0.6833753339726392,0.7449124926807649,0.36523821430335357,0.4813943123938879,0.10201967158456282,0.14423127177700346
