judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted
Qwen2.5-7B,conf_verb,clean,0.5,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.51,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.52,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.53,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.54,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.55,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.56,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.57,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.58,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.59,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.6,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.61,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.62,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.63,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.64,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.65,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.66,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.67,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.68,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.69,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.7,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.71,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.72,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
Qwen2.5-7B,conf_verb,clean,0.73,1836,1836,0,1.0,1.0,0.2429193899782135,0.5139235817606778
