measure,judge,population,value,ci_low,ci_high
auroc,Qwen2.5-7B,all,0.7935759912249573,0.7667146655370846,0.819154232192796
overconfidence_gap,Qwen2.5-7B,all,0.1034367744143482,0.0856306447781162,0.121855555884743
flip_rate,Qwen2.5-7B,all,0.2783224400871459,0.2480024503061222,0.3080989766622277
delta_ece,Qwen2.5-7B,all,0.0431253108249537,0.0113896352123491,0.0520829329021041
auroc,kev-8b,in coverage,0.7722258064516129,0.7406586690051898,0.8004901733604441
overconfidence_gap,kev-8b,in coverage,0.0664160305343511,0.0465041417065695,0.0873346380722006
flip_rate,kev-8b,in coverage,0.2458015267175572,0.1952525804606913,0.2996318631433076
delta_ece,kev-8b,in coverage,-0.029206106870229,-0.0446201525977563,-0.001506485179473
auroc,kev-8b,out of coverage,0.7805952989269289,0.7230894940773124,0.8313090231917565
overconfidence_gap,kev-8b,out of coverage,0.0547243346007603,0.0222374941525027,0.0905696908849375
flip_rate,kev-8b,out of coverage,0.2110266159695817,0.155160506763193,0.282445807645826
delta_ece,kev-8b,out of coverage,-0.005717299578059,-0.0598185289101019,0.0394819416498993
auroc,auto-j-13b,turn 1,0.6831680650902618,0.6468670888512928,0.7209698945339873
overconfidence_gap,auto-j-13b,turn 1,0.1338971712538227,0.0988602954683826,0.1697061376725697
flip_rate,auto-j-13b,turn 1,0.125,0.0898153317270964,0.1618193611840257
delta_ece,auto-j-13b,turn 1,-0.0246826516220028,-0.0629643736534318,0.0105544765267967
auroc,auto-j-13b,turn 2,0.6805567945286947,0.6370833071024531,0.7216588149477309
overconfidence_gap,auto-j-13b,turn 2,0.099981440237565,0.0697712155224849,0.1317498170097732
flip_rate,auto-j-13b,turn 2,0.1380846325167037,0.1079523110316649,0.1692184375382606
delta_ece,auto-j-13b,turn 2,-0.0338785046728972,-0.0666684901531728,0.012324111711762
