feature,family,coef,ci_low,ci_high
conf_verb,A,0.1833920404210981,0.02915142960422868,0.36301005761300925
conf_lp,A,0.004973255339847314,-0.14022386966976932,0.1229983041405789
conf_sc,A,0.18802006625843423,0.05881905686589799,0.32499601009697904
conf_bpe,A,0.2603164778007815,-0.250294364692839,0.8793200881659907
conf_ens,A,0.13583858652759154,0.06628691138779758,0.21572847253389432
ens_entropy_total,A,-0.13583858652759193,-0.21572847253389688,-0.0662869113877983
ens_entropy_aleatoric,A,-0.11315618436762287,-0.2341259073708984,-0.01257288988141308
ens_entropy_epistemic,A,-0.10773104831474548,-0.24244480070218294,0.044777032154333415
len_a,B,-0.0029576324837315648,-0.23540347422998986,0.27413227956969266
len_b,B,-0.07686755493856624,-0.369194114931456,0.11801082368826786
len_ratio,B,-0.07320175159698208,-0.2582071185950318,0.1466742823745337
abs_len_diff,B,0.3379121128729845,0.16203158040087748,0.7075581502033044
longer_is_chosen,B,0.19522907435197984,0.026904524857949367,0.3526636950253987
turn,B,0.012864466065499592,-0.12657867017102067,0.16206583069423802
judge_output_len,B,0.017761011362309714,-0.4990446787738129,0.5049343139655829
flipped,B,-0.19436146873160826,-0.7540015537176432,0.4780623408354548
verdict_margin,C,0.004952337541876597,-0.14025422802307722,0.12300025177567421
cot_logprob_mean_greedy,C,0.4338966354578791,-0.30824454125747913,1.2153450277925861
cot_logprob_min_greedy,C,0.17860615471826713,-0.06544251889476592,0.41300580389513986
cot_logprob_std_greedy,C,0.41287010407955177,-0.1328867993661141,0.9207035324103026
cot_logprob_p10_greedy,C,0.09068215117604388,-0.271811262013697,0.4275211543769716
cot_entropy_mean_greedy,C,0.2404260361832939,-0.46863770988199105,0.9258566333639924
n_cot_tokens_greedy,C,0.018300031898145032,-0.4487445461902276,0.49858358572295475
cot_logprob_mean_sampled_t07,C,-0.06755415199709475,-0.7271496816486149,0.5518001858064562
cot_logprob_min_sampled_t07,C,0.06884219474410834,-0.31997838424982855,0.4179160269770739
cot_logprob_std_sampled_t07,C,0.0017200525883840085,-0.5412913834901886,0.5126023910110359
cot_logprob_p10_sampled_t07,C,-0.002810824139601491,-0.34422537197263436,0.32759988374446036
cot_entropy_mean_sampled_t07,C,-0.15418338269960485,-0.5755929674431507,0.2513393647586352
n_cot_tokens_sampled_t07,C,-0.03539425189338308,-0.22136891101412348,0.09701547153892306
category_coding,B,-0.016915100688702916,-0.11845996182216754,0.08610308561005062
category_extraction,B,0.004768704619358096,-0.14000357836782076,0.17066395313171806
category_humanities,B,0.01087999792358937,-0.10135807598269156,0.1256444819058433
category_math,B,0.04895320437805737,-0.06497620763949623,0.16739394642150118
category_reasoning,B,-0.12693750527203596,-0.23961148753969783,-0.028212702986629687
category_roleplay,B,-0.04485768298352684,-0.16695690955354386,0.06739073014266606
category_stem,B,0.06848801973648634,-0.08109249355011078,0.22350687145839976
category_writing,B,0.04032158056633738,-0.06751968587329527,0.168044635721333
